"energy","protein","carbohydrate","sugars","total_lipid_fat","fatty_acids_total_saturated","cholesterol","sodium","fiber_total_dietary","water","vitamin_a","vitamin_b","vitamin_b1","vitamin_b2","vitamin_b3","vitamin_b4","vitamin_b5","vitamin_b6","vitamin_b7","vitamin_b9_folic_acid","vitamin_b12","vitamin_c","vitamin_d","vitamin_e","vitamin_k","calcium","iron","magnesium","phosphorus","zinc","potassium","polyunsaturated","omega3","omega6","monounsaturated","omega9","lycopene","itemName","_isExt"
"567","26","14.5","-1000","45","5","0","0.044","4","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","גרעיני דלעת טבעיים קלופים","0"
"584","20.8","20","2.6","51.5","4.5","0","0.009","8.6","-1000","0.000003","0.012827","0.0015","0.0004","0.0083","-1000","0.0011","0.0013","-1000","0.000227","0","-1000","0","0.0352","0","0.078","0.0053","0.325","0.645","0.005","0.645","23.137","0.028","23","18.5","-1000","-1000","גרעיני חמניה קלופים טבעיים","0"
"88","5.99","15","2.35","0.86","0.09","-1000","0.33344","5.46","76.65","0.00000882","0.00168","0.00012","0.00005","0.0008","-1000","0.00043","0.00015","-1000","0.00011849","-1000","0.00477","-1000","0.00019","0.00000297","0.01823","0.0022","0.02651","0.12198","0.00086","0.30404","0.13","0.02","0.11","0.05","0.05","0.00054","דאל עדשים כתומות שלי  מתכון","0"
"145","1.03","3.84","0.54","15.32","2.029","0","1.556","3.3","75.3","0.00002","0.000322","0.000021","0.000007","0.000237","-1000","0.000023","0.000031","-1000","0.000003","-1000","-1000","-1000","0.00381","0.0000014","0.052","0.00049","0.011","0.004","0.00004","0.042","1.307","0.092","1.215","11.314","11.144","-1000","זיתים ירוקים כבושים","0"
"165","31.02","0","0","3.57","1.01","0.085","0.074","0","65.26","0.000006","0.015465","0.00007","0.000114","0.013712","-1000","0.000965","0.0006","-1000","0.000004","0.00000034","-1000","0.000000125","0.00027","0.0000003","0.015","0.00104","0.029","0.228","0.001","0.256","0.77","0.03","0.59","1.24","1.04","-1000","חזה עוף מבושל-צלוי","0"
"146","6.45","30.46","-1000","0.91","-1000","0","-1000","-1000","61.42","-1000","0.002992","0.00012","0.00003","0.002747","-1000","-1000","0.000083","-1000","0.000012","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","חיטת קמוט מבושלת","0"
"36","2.07","7","1.29","0.47","0.09","-1000","0.19313","2","88.95","0.00004031","0.00075","0.00005","0.00005","0.00039","-1000","0.00009","0.00015","-1000","0.00001635","-1000","0.03971","-1000","0.00037","0.00002803","0.03031","0.0023","0.01963","0.03571","0.00028","0.17077","0.04","0.01","0.04","0.02","0.02","0.00014","חילבה מתכון","0"
"50","3.3","4.68","-1000","1.97","-1000","-1000","0.044","-1000","89.33","0.000055","0.000715","0.000039","0.000185","0.000092","-1000","0.000356","0.000038","-1000","0.000005","0.00000046","0.0002","0.000001","0.00003","0.0000002","0.2","0.00003","0.011","0.094","0.00043","0.15","0.073","0.008","0.055","0.56","-1000","-1000","חלב דל קלוריות מועשר 2%","0"
"17","1.23","3.29","1.19","0.3","0.039","0","0.008","2.1","94.6","0.000436","0.000804","0.000072","0.000067","0.000313","-1000","0.000142","0.000074","-1000","0.000136","-1000","0.024","-1000","0.00013","0.0001025","0.033","0.00097","0.014","0.03","0.00023","0.247","0.16","0.113","0.047","0.012","0.009","-1000","חסה ערבית","0"
"154.6","17.3","4.5","-1000","7.5","1.1","0","0.0083","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","0.2575","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","טופו אורגני","1"
